"DESTINATION","PREFIX","RATE"
"AeroMobile - GSM aircraft",88299,"1,9989"
"Afghanistan",93,"0,1175"
"Afghanistan Mobile",937,"0,1175"
"Afghanistan Mobile - Etisalat",9378,"0,1175"
"Afghanistan Mobile - Roshan",9379,"0,1175"
"Alaska",1907,"0,1557"
"Albania",355,"0,097"
"Albania Mobile",35567,"0,097"
"Albania Mobile",35568,"0,097"
"Albania Mobile",35569,"0,097"
"Albania Mobile - Plus",35566,"0,097"
"Algeria",213,"0,109"
"Algeria Mobile - Orascom",2137,"0,122"
"Algeria Mobile - Orascom",2139,"0,122"
"Algeria Mobile - Other",2131,"0,122"
"Algeria Mobile - Other",2136,"0,122"
"Algeria Mobile - Other",21398,"0,122"
"Algeria Mobile - Other",21399,"0,122"
"Algeria Mobile - Watania",2135,"0,122"
"American Samoa",1684,"0,1175"
"Andorra",376,"0,0121"
"Andorra Mobile",3763,"0,056"
"Andorra Mobile",3764,"0,056"
"Andorra Mobile",3766,"0,056"
"Angola",244,"0,109"
"Angola Mobile - Other",2449,"0,122"
"Angola Mobile - Unitel",24492,"0,122"
"Angola Mobile - Unitel",24493,"0,122"
"Angola Mobile - Unitel",24494,"0,122"
"Anguilla",1264,"0,1557"
"Anguilla Mobile",1264235,"0,142"
"Anguilla Mobile",1264469,"0,142"
"Anguilla Mobile",1264536,"0,142"
"Anguilla Mobile",1264537,"0,142"
"Anguilla Mobile",1264538,"0,142"
"Anguilla Mobile",1264539,"0,142"
"Anguilla Mobile",1264581,"0,142"
"Anguilla Mobile",1264582,"0,142"
"Anguilla Mobile",1264583,"0,142"
"Anguilla Mobile",1264584,"0,142"
"Anguilla Mobile",1264729,"0,142"
"Anguilla Mobile",1264772,"0,142"
"Anguilla Mobile",1264476,"0,142"
"Anguilla Mobile",1264543,"0,142"
"Anguilla Mobile",1264724,"0,142"
"Antigua and Barbuda",1268,"0,1557"
"Antigua and Barbuda Mobile",1268406,"0,142"
"Antigua and Barbuda Mobile",1268409,"0,142"
"Antigua and Barbuda Mobile",126872,"0,142"
"Antigua and Barbuda Mobile",1268764,"0,142"
"Antigua and Barbuda Mobile",126877,"0,142"
"Antigua and Barbuda Mobile",1268783,"0,142"
"Antigua and Barbuda Mobile",1268785,"0,142"
"Antigua and Barbuda Mobile",1268788,"0,142"
"Antigua and Barbuda Mobile",1268464,"0,142"
"Argentina - Buenos Aires",5411,"0,1557"
"Argentina - Buenos Aires",5487,"0,1557"
"Argentina - Buenos Aires",5488,"0,1557"
"Argentina - ROC",54,"0,1557"
"Argentina - ROC",54870,"0,1557"
"Argentina - ROC",54880,"0,1557"
"Argentina - ROC",54882,"0,1557"
"Argentina - ROC",54883,"0,1557"
"Argentina - ROC",54886,"0,1557"
"Argentina - ROC",54889,"0,1557"
"Argentina Mobile",549,"0,142"
"Armenia",374,"0,097"
"Armenia Mobile",37460,"0,097"
"Armenia Mobile",37477,"0,097"
"Armenia Mobile",3749,"0,097"
"Armenia Mobile",3745,"0,097"
"Aruba",297,"0,1557"
"Aruba Mobile",297127,"0,142"
"Aruba Mobile",29759,"0,142"
"Aruba Mobile",297600,"0,142"
"Aruba Mobile",297622,"0,142"
"Aruba Mobile",297640,"0,142"
"Aruba Mobile",297641,"0,142"
"Aruba Mobile",29766,"0,142"
"Aruba Mobile",29769,"0,142"
"Aruba Mobile",29774,"0,142"
"Aruba Mobile",29796,"0,142"
"Aruba Mobile",29799,"0,142"
"Aruba Mobile",29756,"0,142"
"Aruba Mobile",297630,"0,142"
"Aruba Mobile",29773,"0,142"
"Ascension",247,"0,2236"
"Australia - Cities",61261,"0,0178"
"Australia - Cities",61262,"0,0178"
"Australia - Cities",6128,"0,0178"
"Australia - Cities",6129,"0,0178"
"Australia - Cities",61380,"0,0178"
"Australia - Cities",61381,"0,0178"
"Australia - Cities",61382,"0,0178"
"Australia - Cities",61383,"0,0178"
"Australia - Cities",61384,"0,0178"
"Australia - Cities",61385,"0,0178"
"Australia - Cities",61386,"0,0178"
"Australia - Cities",61387,"0,0178"
"Australia - Cities",61388,"0,0178"
"Australia - Cities",6139,"0,0178"
"Australia - Cities",6173,"0,0178"
"Australia - Cities",61860,"0,0178"
"Australia - Cities",61861,"0,0178"
"Australia - Cities",61862,"0,0178"
"Australia - Cities",61863,"0,0178"
"Australia - Cities",61864,"0,0178"
"Australia - Cities",61865,"0,0178"
"Australia - Cities",61870,"0,0178"
"Australia - Cities",61871,"0,0178"
"Australia - Cities",61872,"0,0178"
"Australia - Cities",61873,"0,0178"
"Australia - Cities",61874,"0,0178"
"Australia - Cities",61881,"0,0178"
"Australia - Cities",61882,"0,0178"
"Australia - Cities",61883,"0,0178"
"Australia - Cities",61884,"0,0178"
"Australia - Cities",61892,"0,0178"
"Australia - Cities",61893,"0,0178"
"Australia - Cities",61894,"0,0178"
"Australia - ROC",61,"0,0178"
"Australia Mobile",611452,"0,1126"
"Australia Mobile",611453,"0,1126"
"Australia Mobile",61147,"0,1126"
"Australia Mobile",6116,"0,1126"
"Australia Mobile",611451,"0,1126"
"Australia Mobile",614,"0,1126"
"Austria - ROC",43,"0,0121"
"Austria - Vienna",431,"0,0121"
"Austria Mobile - Hutchinson 3G",43660,"0,056"
"Austria Mobile - Hutchinson 3G",4367833,"0,056"
"Austria Mobile - Hutchinson 3G",4367890,"0,056"
"Austria Mobile - Hutchinson 3G",4367891,"0,056"
"Austria Mobile - Mobilkom",43680,"0,056"
"Austria Mobile - Mobilkom",43688,"0,056"
"Austria Mobile - Mobilkom",4369988,"0,056"
"Austria Mobile - Mobilkom",4369989,"0,056"
"Austria Mobile - Mobilkom",43664,"0,056"
"Austria Mobile - Orange",43681,"0,056"
"Austria Mobile - Orange",43699,"0,056"
"Austria Mobile - Other",43711,"0,056"
"Austria Mobile - Other",43730,"0,056"
"Austria Mobile - Other",43740,"0,056"
"Austria Mobile - Other",43780,"0,056"
"Austria Mobile - Other",43810,"0,056"
"Austria Mobile - Other",43820,"0,056"
"Austria Mobile - T-Mobile",43677,"0,056"
"Austria Mobile - T-Mobile",43676,"0,056"
"Austria Mobile - Telering",43650,"0,056"
"Azerbaijan",994,"0,1175"
"Azerbaijan Mobile",99444,"0,1175"
"Azerbaijan Mobile",99450,"0,1175"
"Azerbaijan Mobile",99451,"0,1175"
"Azerbaijan Mobile",99455,"0,1175"
"Azerbaijan Mobile",99470,"0,1175"
"Azerbaijan Mobile",99477,"0,1175"
"Azerbaijan Mobile",99440,"0,1175"
"Azerbaijan Mobile",99460,"0,1175"
"Bahamas",1242,"0,1557"
"Bahrain",973,"0,1175"
"Bahrain Mobile",97331,"0,1175"
"Bahrain Mobile",973322,"0,1175"
"Bahrain Mobile",973340,"0,1175"
"Bahrain Mobile",973341,"0,1175"
"Bahrain Mobile",973343,"0,1175"
"Bahrain Mobile",973345,"0,1175"
"Bahrain Mobile",97336,"0,1175"
"Bahrain Mobile",97337,"0,1175"
"Bahrain Mobile",97338,"0,1175"
"Bahrain Mobile",973663,"0,1175"
"Bahrain Mobile",973666,"0,1175"
"Bahrain Mobile",97377,"0,1175"
"Bahrain Mobile",97333,"0,1175"
"Bahrain Mobile",973344,"0,1175"
"Bahrain Mobile",97339,"0,1175"
"Bangladesh",880,"0,1175"
"Barbados",1246,"0,1557"
"Barbados Mobile",124624,"0,142"
"Barbados Mobile",124625,"0,142"
"Barbados Mobile",124626,"0,142"
"Barbados Mobile",1246446,"0,142"
"Barbados Mobile",1246448,"0,142"
"Barbados Mobile",1246449,"0,142"
"Barbados Mobile",124645,"0,142"
"Barbados Mobile",124652,"0,142"
"Barbados Mobile",1246530,"0,142"
"Barbados Mobile",1246532,"0,142"
"Barbados Mobile",1246533,"0,142"
"Barbados Mobile",1246534,"0,142"
"Barbados Mobile",124682,"0,142"
"Barbados Mobile",124623,"0,142"
"Barbados Mobile",1246447,"0,142"
"Barbados Mobile",1246531,"0,142"
"Barbados Mobile",124683,"0,142"
"Belarus",375,"0,097"
"Belarus Mobile",37525,"0,097"
"Belarus Mobile",37529,"0,097"
"Belarus Mobile",37533,"0,097"
"Belarus Mobile",37544,"0,097"
"Belarus Mobile",375602,"0,097"
"Belgium",32,"0,0121"
"Belgium - Other Fixed",32702,"0,0121"
"Belgium - Other Fixed",32703,"0,0121"
"Belgium - Other Fixed",32704,"0,0121"
"Belgium - Other Fixed",32707,"0,0121"
"Belgium - Other Fixed",3278,"0,0121"
"Belgium - Other Fixed",32800,"0,0121"
"Belgium - Other Fixed",32706,"0,0121"
"Belgium Mobile - Base",3248,"0,056"
"Belgium Mobile - Mobistar",3249,"0,056"
"Belgium Mobile - Other",32463,"0,056"
"Belgium Mobile - Other",324660,"0,056"
"Belgium Mobile - Other",324661,"0,056"
"Belgium Mobile - Other",324662,"0,056"
"Belgium Mobile - Other",32468,"0,056"
"Belgium Mobile - Proximus",32460,"0,056"
"Belgium Mobile - Proximus",3247,"0,056"
"Belize",501,"0,097"
"Belize Mobile",5016,"0,097"
"Benin",229,"0,2236"
"Benin Mobile",22964,"0,2236"
"Benin Mobile",22965,"0,2236"
"Benin Mobile",22966,"0,2236"
"Benin Mobile",22967,"0,2236"
"Benin Mobile",22968,"0,2236"
"Benin Mobile",2299,"0,2236"
"Bermuda",1441,"0,1557"
"Bermuda Mobile",14413,"0,142"
"Bermuda Mobile",144150,"0,142"
"Bermuda Mobile",144151,"0,142"
"Bermuda Mobile",144153,"0,142"
"Bermuda Mobile",144155,"0,142"
"Bermuda Mobile",144159,"0,142"
"Bermuda Mobile",144152,"0,142"
"Bermuda Mobile",14417,"0,142"
"Bhutan",975,"0,1175"
"Bolivia",591,"0,1557"
"Bolivia Mobile",5916,"0,142"
"Bolivia Mobile",5917,"0,142"
"Bosnia and Herzegovina",387,"0,097"
"Bosnia and Herzegovina Mobile",3876031,"0,097"
"Bosnia and Herzegovina Mobile",38761,"0,097"
"Bosnia and Herzegovina Mobile",38763,"0,097"
"Bosnia and Herzegovina Mobile",38764,"0,097"
"Bosnia and Herzegovina Mobile",38765,"0,097"
"Bosnia and Herzegovina Mobile",38766,"0,097"
"Bosnia and Herzegovina Mobile",38767,"0,097"
"Bosnia and Herzegovina Mobile",38762,"0,097"
"Botswana",267,"0,2236"
"Botswana Mobile - Mascom",26771,"0,2236"
"Botswana Mobile - Mascom",267741,"0,2236"
"Botswana Mobile - Mascom",267742,"0,2236"
"Botswana Mobile - Mascom",267745,"0,2236"
"Botswana Mobile - Mascom",267746,"0,2236"
"Botswana Mobile - Mascom",267747,"0,2236"
"Botswana Mobile - Mascom",267755,"0,2236"
"Botswana Mobile - Mascom",267756,"0,2236"
"Botswana Mobile - Mascom",267759,"0,2236"
"Botswana Mobile - Mascom",267760,"0,2236"
"Botswana Mobile - Mascom",267761,"0,2236"
"Botswana Mobile - Mascom",267766,"0,2236"
"Botswana Mobile - Mascom",267767,"0,2236"
"Botswana Mobile - Mascom",267770,"0,2236"
"Botswana Mobile - Mascom",267771,"0,2236"
"Botswana Mobile - Mascom",267740,"0,2236"
"Botswana Mobile - Mascom",267754,"0,2236"
"Botswana Mobile - Mascom",267762,"0,2236"
"Botswana Mobile - Orange",26772,"0,2236"
"Botswana Mobile - Orange",267744,"0,2236"
"Botswana Mobile - Orange",267748,"0,2236"
"Botswana Mobile - Orange",267750,"0,2236"
"Botswana Mobile - Orange",267751,"0,2236"
"Botswana Mobile - Orange",267752,"0,2236"
"Botswana Mobile - Orange",267763,"0,2236"
"Botswana Mobile - Orange",267764,"0,2236"
"Botswana Mobile - Orange",267765,"0,2236"
"Botswana Mobile - Orange",267792,"0,2236"
"Botswana Mobile - Orange",267743,"0,2236"
