"Special Services Description","Call Number / Pattern","Type of rate (see bottom)","Initial Cost","Cost on Weekdays from 9am to 9pm","Cost on Weekdays from 9pm to 9am, weekend and holidays","Max Cost"
"RATE METHOD NOTE","Costs use ',' as decimal separator",,,,,
"RATE METHOD NOTE","These are interpreted as notes",,,,,
"RATE METHOD NOTE","1 – Rated by second after the first minute",,,,,
"RATE METHOD NOTE","2 - Rated by second after the first 30 seconds",,,,,
"RATE METHOD NOTE","3 – By call",,,,,
"RATE METHOD NOTE","4 - Rated by second after the first second",,,,,
"RATE METHOD NOTE","5 - Rate by minute applies to the 5th minute, after the 5th minute it's free",,,,,
"RATE METHOD NOTE","6 – Rate by minute",,,,,
"RATE METHOD NOTE","Rate 7 is replaced by a the corresponding value in max call price column",,,,,
"RATE METHOD NOTE","8 - Rated by second after the first 10 seconds",,,,,
"RATE METHOD NOTE","9 - Rate applies on 30 second cycles with the indicated value (regardless the duration of the call)",,,,,
"RATE METHOD NOTE","LocalPT – the same cost of locallandline",,,,,
"RATE METHOD NOTE","Use only one number for line",,,,,
"RATE METHOD NOTE","the application will advise if something is not understood",,,,,
"RATE METHOD NOTE","not applied – for not applicable method",,,,,
"RATE METHOD NOTE","VAT not included",,,,"0,0084",-1
"RATE METHOD NOTE","Use only one number for line",,,,,
"Serviço de Acesso Universal PT","7072xxxxx","1","0,1","0,1","0,1",-1
"Serviço de Tarifa Única por Chamada PT","76020xxxx","3","0,6",0,0,-1
"Serviço de Tarifa Única por Chamada PT","76120xxxx","3",1,0,0,-1
"Serviço de Tarifa Única por Chamada PT","76220xxxx","3",2,0,0,-1
"Serv Cha c/ Custos Partilhados PT","8082xxxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso ao Voice Mail PT Comunicações",600200600,"1","0,0279","0,0279","0,0279",-1
"Serviço de Acesso ao Voice Mail IN PT Comunicações",600200800,"1","0,0279","0,0279","0,0279",-1
"Serviço de Acesso Universal Voz Empresarial","70702xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Voz Empresarial","80802xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal Novis","70710xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Novis","70810xxxx","1","0,1","0,1","0,1",-1
"Serviço de Tarifa Única por Chamada Novis","76010xxxx","3","0,6",0,0,-1
"Serviço de Tarifa Única por Chamada Novis","76110xxxx","3",1,0,0,-1
"Serviço de Tarifa Única por Chamada Novis","76210xxxx","3",2,0,0,-1
"Serv Cha c/ Custos Partilhados Novis","80810xxxx","1","0,07","0,0258","0,0084",-1
"Serv Cha c/ Custos Partilhados Refer","80812xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal Refer","70712xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Ar Telecom","70730xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Ar Telecom","70731xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Ar Telecom","70830xxxx","1","0,1","0,1","0,1",-1
"Serviço de Tarifa Única por Chamada Ar Telecom","76030xxxx","3","0,6",0,0,-1
"Serv Cha c/ Custos Partilhados Ar Telecom","80830xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal G9","70745xxxx","1","0,085","0,085","0,085",-1
"Serviço de Acesso Universal G9","70845xxxx","1","0,085","0,085","0,085",-1
"Serviço de Tarifa Única por Chamada G9","76045xxxx","3","0,6",0,0,-1
"Serv Cha c/ Custos Partilhados G9","80845xxxx","1","0,07","0,0258","0,0084",-1
"Serv Cha c/ Custos Partilhados G9","80945xxxx","1","0,0258","0,0258","0,0258",-1
"Serviço de Acesso Universal ONI","70750xxxx","1","0,1","0,1","0,1",-1
"Serviço de Tarifa Única por Chamada ONI","76050xxxx","3","0,6",0,0,-1
"Serv Cha c/ Custos Partilhados ONI","80850xxxx","1","0,07","0,0258","0,0084",-1
"Serv Cha c/ Custos Partilhados ONI","80950xxxx","1","0,0258","0,0258","0,0258",-1
"Serviço de Acesso Universal Coltel","70778xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Coltel","70878xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Coltel","80878xxxx","1","0,07","0,0258","0,0084",-1
"Serv Cha c/ Custos Partilhados Coltel","80978xxxx","1","0,0258","0,0258","0,0258",-1
"Serviço de Acesso Universal Cabovisão","70780xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Cabovisão","80888xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal Vodafone","70791xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Vodafone","80891xxxx","1","0,07","0,0277","0,0084",-1
"Serviço de Acesso Universal CTT","70792xxxx","1","0,1","0,1","0,1",-1
